 	Mean	X	Y
1	123	1.260	12.100
2	108	5.340	6.480
3	100	10.840	12.620
4	94	11.860	5.160
5	90	3.200	0.320
6	85	6.620	5.240
7	79	3.040	0.100
8	67	8.820	10.280
9	66	9.260	10.780
10	61	10.020	11.880
11	58	11.240	12.180
12	50	6.540	7.720
13	48	8.760	10.140
14	44	2.960	4.680
15	43	11.860	9.400
16	39	14.900	5.080
17	38	5.720	6.840
18	37	3.140	6.840
19	35	5.160	6.140
20	34	5.220	6.320
21	32	8.300	9.660
22	27	6.600	8.060
23	26	10.980	14.820
24	25	9.220	11.180
25	25	8.420	9.300
26	24	5.420	6.840
27	23	3.260	11.720
28	22	11.560	12.860
29	22	2.640	11.600
30	22	4.940	3.700
31	21	1.180	5.180
32	20	9.140	8.040
33	19	6.820	8.280
34	18	7.840	11.740
35	18	1.440	10.540
36	18	10.140	9.160
37	18	1.080	5.460
38	17	2.120	11.860
39	17	1.900	11.600
40	17	14.640	5.780
41	17	0.520	4.680
42	17	14.100	3.920
43	17	2.120	3.100
44	17	13.580	1.160
45	16	8.920	10.700
46	16	13.960	0.120
47	15	2.240	12.760
48	15	0.020	12.000
49	15	9.140	8.900
50	15	0.680	7.140
51	15	14.980	1.300
52	14	8.200	8.900
53	14	14.680	7.820
54	14	13.320	5.260
55	14	4.480	1.640
56	13	14.240	5.900
57	13	5.320	4.520
58	13	13.660	2.520
59	12	0.800	14.320
60	12	3.680	11.640
61	12	3.200	11.200
62	12	9.240	9.700
63	12	0.840	9.080
64	12	10.740	0.160
65	11	1.800	13.860
66	11	0.640	12.360
67	11	9.360	11.600
68	11	3.540	6.120
69	11	6.160	5.340
70	11	0.560	3.140
71	11	3.800	1.580
72	10	13.540	13.360
73	10	1.480	10.820
74	10	4.920	8.600
75	10	7.820	0.720
76	10	0.620	0.060
77	9	14.820	14.980
78	9	0.720	13.960
79	9	0.940	12.780
80	9	3.020	11.940
81	9	3.580	7.960
82	9	5.520	4.440
83	9	11.100	0.240
84	8	3.960	14.440
85	8	14.980	14.420
86	8	13.220	13.100
87	8	14.860	10.080
88	8	7.720	6.460
89	8	5.540	2.260
90	8	6.240	1.060
91	8	5.380	0.280
