 	Area	X	Y	Major	Minor	Angle
1	0.098	2.921	0.221	0.601	0.207	143.743
2	3.553	8.955	2.256	4.491	1.007	75.620
3	0.025	3.381	0.222	0.256	0.125	178.769
4	0.081	11.322	0.421	0.522	0.198	70.254
5	0.033	1.044	0.501	0.252	0.168	69.135
6	0.054	3.641	0.627	0.402	0.171	52.122
7	0.135	4.333	0.801	0.872	0.197	151.726
8	1.616	0.709	1.576	1.990	1.034	54.883
9	0.244	10.797	1.360	1.016	0.305	79.402
10	0.116	14.015	1.591	0.654	0.226	55.667
11	0.056	11.475	1.517	0.320	0.223	67.213
12	0.068	12.013	1.585	0.350	0.247	100.095
13	0.580	11.546	2.407	1.421	0.519	85.084
14	0.057	12.714	1.897	0.351	0.208	149.197
15	0.020	14.225	1.984	0.240	0.108	56.142
16	0.036	10.672	2.239	0.249	0.182	99.079
17	0.244	13.778	2.378	0.768	0.405	29.461
18	2.242	12.909	3.777	3.972	0.719	20.688
19	0.092	10.460	2.835	0.435	0.270	67.579
20	0.067	0.758	2.888	0.373	0.228	149.855
21	0.089	7.898	3.936	0.399	0.283	111.780
22	0.142	10.371	4.162	0.610	0.296	84.483
23	0.738	3.590	5.006	2.814	0.334	151.567
24	0.064	13.438	4.304	0.414	0.197	5.098
25	0.612	14.330	4.958	1.501	0.519	71.336
26	0.239	7.364	4.889	1.052	0.289	84.564
27	2.087	9.810	5.608	3.268	0.813	27.988
28	0.082	13.083	4.870	0.339	0.307	160.607
29	0.192	6.478	5.531	0.784	0.311	79.837
30	0.450	7.926	5.655	1.173	0.489	30.602
31	0.292	5.458	5.561	1.458	0.255	168.552
32	1.623	12.216	6.970	2.692	0.768	98.309
33	0.065	0.111	5.953	0.377	0.219	96.633
34	0.391	5.301	6.290	1.130	0.441	173.191
35	0.048	6.750	6.036	0.301	0.201	86.881
36	0.286	14.215	6.790	0.937	0.389	79.309
37	8.964	3.892	10.681	7.394	1.544	56.168
38	0.420	9.842	6.974	1.158	0.462	23.413
39	0.088	11.277	6.739	0.403	0.277	32.077
40	0.034	5.732	6.990	0.294	0.145	168.971
41	0.036	3.944	7.070	0.244	0.186	58.661
42	0.272	10.918	7.920	1.202	0.289	123.129
43	0.177	9.169	7.934	0.719	0.313	143.754
44	0.409	1.789	7.988	0.938	0.555	1.035
45	0.049	14.164	8.028	0.312	0.199	76.916
46	0.042	9.677	8.148	0.282	0.189	176.350
47	0.125	1.059	8.522	0.524	0.304	94.906
48	0.682	9.363	9.041	1.162	0.747	168.977
49	0.056	11.921	8.571	0.308	0.233	111.479
50	0.025	8.576	8.620	0.224	0.141	80.462
51	0.822	12.462	9.594	1.870	0.560	144.511
52	0.162	7.635	8.944	0.908	0.227	177.215
53	0.108	14.711	9.240	0.595	0.232	142.031
54	0.078	8.284	9.197	0.395	0.250	178.786
55	0.033	6.632	9.373	0.234	0.178	28.293
56	0.517	0.995	9.618	1.922	0.342	176.593
57	0.206	8.320	9.566	0.886	0.296	8.753
58	0.023	10.069	9.585	0.224	0.132	44.412
59	0.032	5.621	9.599	0.249	0.166	1.574
60	0.552	13.838	10.196	1.073	0.655	131.744
61	0.032	5.451	9.889	0.288	0.141	58.378
62	0.049	10.395	9.914	0.321	0.195	155.935
63	0.062	9.589	10.098	0.346	0.227	105.668
64	1.136	10.738	10.653	1.343	1.077	156.593
65	0.346	0.504	10.879	1.097	0.401	56.968
66	0.138	1.880	10.548	0.484	0.362	90.809
67	0.224	12.107	10.954	1.113	0.256	78.450
68	0.033	13.377	10.529	0.241	0.174	95.414
69	0.145	6.355	10.793	0.780	0.237	99.780
70	0.034	1.066	10.583	0.240	0.180	83.834
71	0.022	13.581	10.666	0.209	0.134	52.570
72	1.252	4.466	11.683	2.538	0.628	62.425
73	0.322	14.088	11.110	1.046	0.392	8.527
74	0.101	13.191	11.374	0.547	0.235	68.454
75	0.153	1.746	11.558	0.720	0.270	88.482
76	0.122	13.594	11.650	0.588	0.263	51.125
77	0.052	10.950	12.189	0.368	0.181	42.187
78	0.136	13.308	12.268	0.566	0.306	45.920
79	0.034	12.329	12.376	0.264	0.166	61.632
80	1.029	11.482	13.103	1.723	0.761	52.876
81	0.022	14.889	12.693	0.192	0.149	176.211
82	0.457	13.169	13.507	0.957	0.608	113.899
83	0.070	12.527	13.201	0.455	0.195	101.032
84	0.048	10.302	13.242	0.400	0.154	47.320
85	0.554	11.951	14.058	1.172	0.602	39.463
86	0.041	13.695	13.571	0.326	0.161	140.470
87	0.047	4.695	13.639	0.251	0.240	122.516
88	0.208	9.850	13.992	0.818	0.324	55.128
89	0.029	9.265	13.840	0.230	0.161	166.169
90	0.012	4.700	13.920	0.192	0.079	28.896
91	0.246	3.367	14.560	0.966	0.324	84.544
92	0.031	9.159	14.367	0.210	0.187	18.879
93	0.065	13.326	14.530	0.359	0.230	115.981
94	0.080	2.147	14.668	0.683	0.150	58.626
95	0.033	1.535	14.794	0.234	0.180	121.271
96	0.028	13.509	14.813	0.197	0.181	38.955
