 	Mean	X	Y
1	102	12.400	6.420
2	86	12.380	7.740
3	79	12.180	7.300
4	56	12.520	0.940
5	55	12.120	0.920
6	53	14.920	12.720
7	53	12.860	9.800
8	52	8.040	5.640
9	49	9.160	14.360
10	48	10.460	5.440
11	46	4.280	11.300
12	45	14.600	12.060
13	36	9.680	0.060
14	34	6.680	7.020
15	33	9.240	13.840
16	33	6.360	7.460
17	28	4.660	9.080
18	26	2.940	12.840
19	26	3.060	10.840
20	26	7.740	2.000
21	25	13.740	9.700
22	25	0.520	9.700
23	24	3.400	11.220
24	24	1.000	1.920
25	23	11.860	13.040
26	22	9.240	5.900
27	22	10.200	5.560
28	22	8.280	4.420
29	22	13.660	3.560
30	21	12.240	12.640
31	20	2.520	13.680
32	20	2.740	13.440
33	20	13.300	13.140
34	20	2.240	12.380
35	20	7.060	10.260
36	20	0.560	9.040
37	19	3.360	11.520
38	19	7.160	6.620
39	18	2.140	13.320
40	18	11.820	9.320
41	18	1.840	3.460
42	18	9.080	2.620
43	17	14.720	1.360
44	16	5.440	13.900
45	16	5.580	9.600
46	16	10.940	5.180
47	15	7.460	9.320
48	15	12.080	7.620
49	15	0.420	1.280
50	14	11.640	14.160
51	14	13.580	9.880
52	14	5.200	8.500
53	14	10.860	6.960
54	13	11.340	14.640
55	13	6.080	13.060
56	13	14.380	11.860
57	13	14.700	7.480
58	12	2.460	14.140
59	12	3.900	5.720
60	11	10.800	7.220
61	11	10.840	1.000
62	10	2.400	14.560
63	10	11.760	13.640
64	10	1.020	12.580
65	10	3.240	12.180
66	10	1.800	10.840
67	10	10.660	10.740
68	10	4.180	9.620
69	10	5.580	7.180
70	9	6.360	10.960
71	9	1.780	9.760
72	9	9.340	9.160
73	9	0.920	8.180
74	9	2.560	4.380
75	9	13.460	0.060
76	8	1.360	13.200
77	8	5.160	11.920
78	8	8.380	10.980
79	8	12.120	10.880
80	8	2.560	9.780
81	8	1.780	9.300
82	8	11.480	8.340
83	8	14.880	5.420
84	7	5.100	14.960
85	7	3.640	0.820
