 	Area	X	Y	Major	Minor	Angle
1	0.536	0.718	0.365	1.391	0.490	168.102
2	1.208	13.756	0.382	2.268	0.678	13.044
3	0.081	7.221	0.114	0.464	0.222	2.851
4	2.660	4.920	1.645	2.323	1.458	117.719
5	0.085	6.132	0.435	0.526	0.206	141.654
6	0.006	0.098	0.718	0.093	0.082	45.001
7	0.038	7.016	0.833	0.294	0.163	173.916
8	0.659	2.088	1.693	1.141	0.736	179.046
9	0.039	1.018	1.309	0.280	0.178	88.449
10	0.577	10.033	1.644	1.495	0.491	3.954
11	0.046	13.102	1.595	0.321	0.183	39.223
12	0.047	3.618	1.706	0.274	0.217	72.813
13	0.161	11.936	1.972	0.570	0.360	41.206
14	0.796	8.115	2.074	2.147	0.472	178.634
15	0.554	13.163	2.053	1.595	0.442	2.995
16	0.127	3.513	2.357	0.731	0.221	63.866
17	0.112	2.472	2.842	0.732	0.195	79.564
18	0.016	4.559	2.661	0.255	0.078	90.525
19	0.414	11.028	3.473	1.734	0.304	63.364
20	0.123	14.566	2.860	0.605	0.258	8.104
21	0.059	13.379	2.968	0.385	0.196	49.274
22	0.019	6.010	3.065	0.201	0.122	73.459
23	2.312	3.094	4.465	2.290	1.286	69.569
24	0.095	6.399	3.243	0.476	0.255	171.474
25	0.076	2.321	3.523	0.537	0.181	56.697
26	0.026	10.647	3.414	0.232	0.143	102.779
27	0.090	11.845	3.603	0.394	0.289	149.877
28	0.010	7.380	3.760	0.177	0.075	167.886
29	0.074	9.136	3.897	0.386	0.245	38.630
30	0.020	6.171	3.878	0.207	0.123	141.579
31	0.188	4.542	4.374	0.672	0.355	101.117
32	0.088	8.534	4.375	0.422	0.265	49.633
33	0.072	3.967	4.462	0.503	0.182	104.312
34	0.107	7.513	4.459	0.532	0.256	60.725
35	1.239	9.717	5.224	2.576	0.613	37.048
36	0.020	12.661	4.350	0.220	0.116	27.424
37	0.058	1.715	4.501	0.498	0.147	52.512
38	0.078	12.436	4.681	0.529	0.189	24.168
39	0.021	4.812	4.599	0.232	0.116	168.532
40	0.066	14.585	4.773	0.386	0.217	142.330
41	0.089	4.320	4.944	0.543	0.209	133.338
42	0.067	5.243	4.856	0.443	0.193	178.963
43	0.090	4.958	5.107	0.590	0.193	142.530
44	0.164	1.287	5.210	0.743	0.282	52.643
45	0.033	11.077	5.169	0.266	0.159	62.777
46	0.047	10.789	5.410	0.307	0.196	53.588
