 	Area	X	Y	Major	Minor	Angle
47	0.014	4.828	5.470	0.179	0.097	42.985
48	0.046	4.704	5.755	0.362	0.162	111.612
49	0.096	10.565	6.057	0.460	0.266	5.163
50	1.315	1.007	7.264	1.877	0.892	61.856
51	0.029	2.519	6.044	0.265	0.138	41.506
52	2.646	6.435	7.516	3.443	0.978	50.046
53	0.430	8.790	6.396	1.698	0.322	19.372
54	0.027	10.207	6.179	0.233	0.148	54.649
55	0.070	5.246	6.334	0.531	0.168	144.679
56	0.171	2.048	6.633	0.726	0.300	60.764
57	0.026	4.140	7.000	0.213	0.153	121.263
58	0.126	7.988	7.191	0.628	0.255	10.317
59	0.043	3.891	7.402	0.350	0.156	118.225
60	0.072	8.901	7.376	0.428	0.214	169.781
61	0.145	7.426	7.595	0.669	0.276	33.956
62	0.019	3.723	7.755	0.204	0.117	136.871
63	0.028	3.978	7.847	0.230	0.155	108.350
64	0.415	0.712	9.049	1.689	0.313	66.119
65	0.044	13.614	8.439	0.310	0.180	107.469
66	0.116	0.353	8.646	0.502	0.293	68.420
67	0.082	3.838	8.620	0.427	0.244	158.058
68	0.107	12.626	9.080	0.525	0.259	165.745
69	0.167	1.759	9.369	0.712	0.299	83.716
70	0.022	13.325	9.109	0.192	0.143	86.356
71	0.018	13.050	9.100	0.245	0.096	160.979
72	0.030	13.416	9.398	0.255	0.148	32.987
73	0.186	12.789	9.771	0.883	0.268	25.585
74	1.582	2.104	10.852	2.749	0.733	22.359
75	0.041	1.618	9.832	0.312	0.167	5.868
76	0.012	4.188	9.842	0.170	0.090	77.417
77	0.037	0.146	9.961	0.259	0.183	7.237
78	0.050	1.382	10.091	0.345	0.183	47.699
79	0.076	8.473	10.175	0.495	0.195	159.221
80	0.280	4.032	10.592	1.172	0.304	40.438
81	0.043	8.838	10.626	0.408	0.134	158.296
82	0.055	4.425	10.842	0.364	0.193	131.129
83	0.064	10.591	11.105	0.349	0.235	154.861
84	0.052	4.661	11.194	0.311	0.211	130.832
85	0.430	11.078	11.604	0.897	0.611	175.219
86	0.078	9.528	11.607	0.430	0.232	138.079
87	0.032	1.424	11.666	0.281	0.145	35.458
88	0.137	4.502	11.801	0.630	0.277	159.826
89	0.042	5.543	11.702	0.280	0.189	175.381
90	0.049	9.820	11.952	0.311	0.201	123.226
91	0.301	2.191	12.392	0.942	0.407	64.721
92	0.033	4.246	12.307	0.241	0.175	92.009
93	0.044	10.307	12.367	0.365	0.155	60.989
94	0.065	1.109	12.431	0.374	0.222	28.908
95	0.158	4.309	13.141	1.226	0.164	96.871
96	0.292	0.643	13.044	1.011	0.368	34.665
97	0.018	6.980	12.988	0.230	0.102	150.442
98	0.055	4.749	13.257	0.290	0.242	116.667
99	0.084	0.104	13.821	0.584	0.184	80.356
100	0.947	1.820	14.435	1.817	0.664	152.898
101	0.023	8.974	13.978	0.234	0.124	173.362
102	0.024	7.768	14.036	0.231	0.130	79.661
103	0.102	9.058	14.725	0.567	0.229	88.218
104	0.039	9.808	14.588	0.272	0.184	50.270
105	0.058	4.084	14.657	0.356	0.206	84.052
106	0.042	13.858	14.705	0.347	0.153	87.551
107	0.015	0.293	14.714	0.198	0.098	77.262
108	0.037	7.853	14.764	0.244	0.194	111.253
