1.503	0.078	0.03	0.245	0	0	1	NaN	0
3.995	0.063	0.047	0.419	0.03	18	1	NaN	0
3.526	2.164	6.063	3.299	15.858	7	1	NaN	0
7.384	4.194	6.301	3.707	0	0	1	NaN	0
11.465	0.052	0.022	0.249	0.573	45	1	NaN	0
19.202	0.142	0.097	0.421	0	0	1	NaN	0
26.667	0.063	0.03	0.282	1.262	109	0	NaN	1
7.508	0.393	0.185	0.882	0.566	28	1	NaN	1
12.036	0.436	0.253	0.977	0.573	45	1	NaN	0
13.436	0.365	0.533	1.307	1.419	49	1	NaN	1
16.984	0.236	0.105	0.516	0.157	74	1	NaN	1
25.968	0.272	0.381	1.505	1.262	109	0	NaN	1
20.748	0.557	0.504	1.31	1.9	94	1	NaN	0
17.479	0.67	0.257	0.96	0.788	77	1	NaN	0
14.956	0.387	0.071	0.419	0	0	1	NaN	5
24.114	0.632	0.319	1.456	1.095	105	0	NaN	0
15.28	2.109	2.446	2.1	7.152	59	1	NaN	0
18.266	1.006	0.251	0.799	0.386	79	1	NaN	1
9.832	0.857	0.038	0.229	0	0	1	NaN	0
25.712	1.049	1.082	2.695	2.332	107	0	NaN	0
16.412	0.998	0.028	0.264	0.157	74	1	NaN	1
2.063	1.109	0.041	0.279	0	0	1	NaN	0
10.766	2.873	1.75	2.664	5.21	38	1	NaN	0
19.881	1.295	0.032	0.26	0.808	80	1	NaN	0
23.28	1.368	0.043	0.302	0.03	101	0	NaN	0
14.407	1.517	0.112	0.398	0.03	61	1	NaN	0
16.645	1.52	0.079	0.42	0.03	76	1	NaN	0
18.718	1.65	0.1	0.378	0.808	80	1	NaN	1
19.29	1.766	0.168	0.627	0.808	80	1	NaN	0
17.175	1.743	0.035	0.253	0.03	76	1	NaN	0
0.396	1.907	0.113	0.515	0.481	2	1	NaN	0
12.107	2.079	0.285	0.75	0.536	47	1	NaN	0
21.546	1.766	0.031	0.223	0	0	0	NaN	0
0.065	1.879	0.037	0.297	0.481	2	1	NaN	1
18.099	1.869	0.032	0.208	0.386	79	1	NaN	0
20.197	2.4	0.457	0.876	0.778	88	1	NaN	1
22.729	2.111	0.078	0.328	0.03	101	0	NaN	0
13.864	2.204	0.11	0.447	0.042	57	1	NaN	0
18.881	2.194	0.086	0.377	0.808	80	1	NaN	0
17.502	3.065	1.532	1.65	2.811	73	1	NaN	0
23.911	2.526	0.084	0.331	0	0	0	NaN	1
21.075	2.523	0.017	0.17	0.624	97	1	NaN	1
1.377	3.401	0.643	2.817	2.591	6	1	NaN	0
30.421	3.164	0.253	0.899	0.526	118	0	NaN	0
13.877	3.036	0.107	0.403	0.06	58	1	NaN	1
20.681	2.977	0.055	0.384	0.524	96	1	NaN	0
