21.563	0.073	0.038	0.305	0	0	0	10.044	0
3.47	0.289	0.161	0.586	0.289	2	0	NaN	0
16.118	0.284	0.174	0.764	0.459	14	0	NaN	0
7.371	1.98	1.456	3.221	4.635	3	0	NaN	1
6.49	0.995	0.049	0.322	0	0	0	NaN	0
24.022	3.369	0.543	1.381	1.384	20	0	13.132	0
0.41	5.263	0.231	0.823	0.409	1	0	NaN	1
7.317	5.541	0.242	0.93	0.421	4	0	NaN	0
23.885	5.498	0.112	0.453	0.06	21	0	15.209	0
8.682	5.899	0.044	0.245	0.915	6	0	NaN	0
8.191	6.574	0.241	1.298	0.915	6	0	NaN	0
7.773	6.558	0.082	0.37	0.915	6	0	NaN	0
21.605	7.166	0.088	0.345	0	0	0	NaN	1
8.63	9.618	0.37	0.87	1.758	7	0	NaN	1
26.357	10.993	1.383	2.115	2.736	24	0	21.706	2
9.191	10.412	0.211	0.991	1.758	7	0	NaN	0
8.367	11.595	0.476	0.967	0.409	8	0	NaN	1
24.576	15.05	0.174	0.622	0.169	23	0	25.046	1
23.748	16.148	0.31	1.373	0.404	19	0	25.777	0
8.72	16.633	0.159	0.587	0.145	9	0	NaN	1
8.84	17.509	0.166	0.638	1.157	10	0	NaN	1
8.691	18.033	0.201	1.048	1.157	10	0	NaN	0
23.007	19.956	1.45	3.334	3.475	18	0	29.741	1
10.367	21.255	0.042	0.269	0	0	0	NaN	0
10.525	22.356	0.25	0.714	0.072	11	0	NaN	1
21.523	23.556	0.453	1.309	1.439	16	0	33.972	0
12.885	27.392	0.315	0.808	0.354	12	0	NaN	0
13.536	29.165	0.302	0.732	0.187	13	0	NaN	1
17.474	30.616	0.023	0.237	0.06	15	0	42.684	0
