 	X	Y	Area	LenEll	LenSke	MitoSkelPos
1	21.563	0.073	0.038	0.305	0.000	0
2	3.470	0.289	0.161	0.586	0.289	2
3	16.118	0.284	0.174	0.764	0.459	14
4	7.371	1.980	1.456	3.221	4.635	3
5	6.490	0.995	0.049	0.322	0.000	0
6	24.022	3.369	0.543	1.381	1.384	20
7	0.410	5.263	0.231	0.823	0.409	1
8	7.317	5.541	0.242	0.930	0.421	4
9	23.885	5.498	0.112	0.453	0.060	21
10	8.682	5.899	0.044	0.245	0.915	6
11	8.191	6.574	0.241	1.298	0.915	6
12	7.773	6.558	0.082	0.370	0.915	6
13	21.605	7.166	0.088	0.345	0.000	0
14	8.630	9.618	0.370	0.870	1.758	7
15	26.357	10.993	1.383	2.115	2.736	24
16	9.191	10.412	0.211	0.991	1.758	7
17	8.367	11.595	0.476	0.967	0.409	8
18	24.576	15.050	0.174	0.622	0.169	23
19	23.748	16.148	0.310	1.373	0.404	19
20	8.720	16.633	0.159	0.587	0.145	9
21	8.840	17.509	0.166	0.638	1.157	10
22	8.691	18.033	0.201	1.048	1.157	10
23	23.007	19.956	1.450	3.334	3.475	18
24	10.367	21.255	0.042	0.269	0.000	0
25	10.525	22.356	0.250	0.714	0.072	11
26	21.523	23.556	0.453	1.309	1.439	16
27	12.885	27.392	0.315	0.808	0.354	12
28	13.536	29.165	0.302	0.732	0.187	13
29	17.474	30.616	0.023	0.237	0.060	15
