 	X	Y	Area	LenEll	LenSke	MitoSkelPos
1	1.503	0.078	0.030	0.245	0.000	0
2	3.995	0.063	0.047	0.419	0.030	18
3	3.526	2.164	6.063	3.299	15.858	7
4	7.384	4.194	6.301	3.707	0.000	0
5	11.465	0.052	0.022	0.249	0.573	45
6	19.202	0.142	0.097	0.421	0.000	0
7	26.667	0.063	0.030	0.282	1.262	109
8	7.508	0.393	0.185	0.882	0.566	28
9	12.036	0.436	0.253	0.977	0.573	45
10	13.436	0.365	0.533	1.307	1.419	49
11	16.984	0.236	0.105	0.516	0.157	74
12	25.968	0.272	0.381	1.505	1.262	109
13	20.748	0.557	0.504	1.310	1.900	94
14	17.479	0.670	0.257	0.960	0.788	77
15	14.956	0.387	0.071	0.419	0.000	0
16	24.114	0.632	0.319	1.456	1.095	105
17	15.280	2.109	2.446	2.100	7.152	59
18	18.266	1.006	0.251	0.799	0.386	79
19	9.832	0.857	0.038	0.229	0.000	0
20	25.712	1.049	1.082	2.695	2.332	107
21	16.412	0.998	0.028	0.264	0.157	74
22	2.063	1.109	0.041	0.279	0.000	0
23	10.766	2.873	1.750	2.664	5.210	38
24	19.881	1.295	0.032	0.260	0.808	80
25	23.280	1.368	0.043	0.302	0.030	101
26	14.407	1.517	0.112	0.398	0.030	61
27	16.645	1.520	0.079	0.420	0.030	76
28	18.718	1.650	0.100	0.378	0.808	80
29	19.290	1.766	0.168	0.627	0.808	80
30	17.175	1.743	0.035	0.253	0.030	76
31	0.396	1.907	0.113	0.515	0.481	2
32	12.107	2.079	0.285	0.750	0.536	47
33	21.546	1.766	0.031	0.223	0.000	0
34	0.065	1.879	0.037	0.297	0.481	2
35	18.099	1.869	0.032	0.208	0.386	79
36	20.197	2.400	0.457	0.876	0.778	88
37	22.729	2.111	0.078	0.328	0.030	101
38	13.864	2.204	0.110	0.447	0.042	57
39	18.881	2.194	0.086	0.377	0.808	80
40	17.502	3.065	1.532	1.650	2.811	73
41	23.911	2.526	0.084	0.331	0.000	0
