 	X	Y	Area	LenEll	LenSke	MitoSkelPos
42	21.075	2.523	0.017	0.170	0.624	97
43	1.377	3.401	0.643	2.817	2.591	6
44	30.421	3.164	0.253	0.899	0.526	118
45	13.877	3.036	0.107	0.403	0.060	58
46	20.681	2.977	0.055	0.384	0.524	96
47	22.931	3.064	0.126	0.448	0.060	102
48	12.394	3.283	0.488	1.739	2.100	43
49	19.104	4.015	1.492	2.078	3.125	81
50	21.438	3.216	0.217	1.025	0.624	97
51	20.544	3.367	0.101	0.488	0.524	96
52	14.807	3.567	0.025	0.296	0.030	63
53	16.143	3.472	0.014	0.198	0.042	68
54	13.870	3.555	0.013	0.186	0.060	58
55	12.870	7.599	7.639	4.193	0.000	0
56	0.918	4.697	0.617	2.362	2.054	5
57	15.861	4.011	0.105	0.412	0.042	68
58	15.035	4.270	0.216	0.557	0.030	63
59	16.873	4.088	0.023	0.234	0.000	0
60	13.497	4.375	0.282	0.723	0.192	55
61	20.105	4.251	0.022	0.194	3.125	81
62	5.301	4.418	0.034	0.224	0.000	0
63	7.313	4.641	0.087	0.773	0.000	0
64	15.800	4.735	0.169	0.778	0.145	67
65	17.628	5.757	1.886	2.471	7.475	65
66	14.564	5.152	0.234	0.763	3.599	52
67	15.701	5.265	0.128	0.575	0.145	67
68	19.849	5.263	0.190	0.953	0.546	86
69	13.343	5.391	0.112	0.410	0.000	0
70	14.088	6.182	1.067	1.636	3.599	52
71	17.092	5.764	0.059	0.364	7.475	65
72	4.131	6.941	2.932	2.510	0.000	0
73	9.781	6.272	0.437	0.929	69.258	10
74	0.389	6.238	0.119	0.655	1.210	1
75	8.763	6.012	0.096	0.464	69.258	10
76	20.466	6.691	0.342	1.480	1.272	95
77	0.196	6.694	0.187	0.588	1.210	1
78	16.435	6.641	0.090	0.381	0.030	71
79	9.238	8.606	2.760	3.740	0.000	0
80	26.864	7.120	0.700	1.295	0.776	113
81	12.082	7.151	0.109	0.727	0.000	0
82	2.116	7.645	1.228	2.263	0.000	0
83	6.626	7.832	0.487	1.881	1.683	24
84	11.739	7.035	0.014	0.150	0.000	0
85	21.053	9.869	2.478	5.109	6.217	90
86	0.203	7.447	0.034	0.265	0.000	0
87	11.484	7.968	0.637	1.122	0.000	0
88	7.475	7.569	0.022	0.202	0.199	31
89	7.847	8.044	0.221	0.685	0.199	31
90	10.375	8.673	0.664	1.333	0.000	0
91	19.518	7.978	0.089	0.364	0.259	85
92	8.538	8.102	0.130	0.532	0.199	31
93	1.110	8.246	0.396	1.025	0.337	11
94	12.113	8.415	0.113	0.448	0.072	48
95	9.022	8.353	0.074	0.343	0.000	0
96	0.290	8.286	0.011	0.179	0.337	11
97	19.675	8.541	0.126	0.591	0.259	85
98	26.869	8.482	0.082	0.390	0.060	114
99	1.514	9.260	0.627	2.449	2.291	9
100	11.989	9.258	0.423	0.878	0.072	48
101	7.100	9.000	0.660	2.327	0.000	0
102	2.778	9.233	0.048	0.272	0.030	14
103	14.214	9.340	0.017	0.178	0.030	60
104	4.320	9.340	0.010	0.185	0.060	17
105	9.745	9.693	0.172	0.676	2.087	35
106	6.372	9.717	0.102	0.583	0.000	0
107	20.134	9.641	0.054	0.274	0.060	91
108	0.078	9.801	0.045	0.310	0.030	3
109	3.635	9.828	0.088	0.452	0.060	17
110	11.032	10.076	0.262	0.916	0.621	41
111	4.280	9.921	0.068	0.381	0.060	17
112	24.366	10.710	0.755	2.533	1.136	108
113	9.569	10.554	0.399	1.862	2.087	35
114	25.724	10.804	0.255	0.813	0.362	110
115	10.720	10.672	0.021	0.174	0.554	40
116	10.519	11.126	0.195	0.567	0.554	40
117	3.048	11.174	0.139	0.589	0.242	16
118	19.081	11.232	0.144	0.438	0.000	0
119	8.172	11.245	0.245	1.160	0.714	32
120	12.585	11.199	0.006	0.124	0.546	46
121	14.177	11.955	0.527	1.425	1.832	53
122	9.939	11.565	0.048	0.276	0.554	40
123	12.083	11.728	0.344	0.789	0.546	46
124	8.816	11.962	1.054	3.668	0.462	34
125	28.247	12.408	0.435	1.495	1.077	115
126	13.380	11.853	0.045	0.350	0.090	50
127	12.942	12.209	0.181	0.586	0.090	50
128	15.059	12.221	0.077	0.348	0.030	64
129	10.678	15.873	2.931	5.491	8.650	36
130	12.078	12.263	0.076	0.359	0.546	46
131	9.359	12.374	0.040	0.360	0.462	34
132	12.106	12.724	0.077	0.331	0.546	46
133	24.337	14.225	0.890	1.533	2.810	104
134	18.219	16.828	2.763	6.633	7.339	70
135	28.911	14.203	0.089	0.379	0.000	0
136	29.992	14.704	0.291	0.748	0.212	117
137	7.870	14.669	0.110	0.415	0.000	0
138	12.007	14.904	0.015	0.157	0.000	0
139	21.522	15.610	0.135	0.462	0.030	98
140	2.328	16.439	0.988	1.420	1.409	13
141	18.989	16.132	0.104	0.515	0.000	0
142	11.176	16.411	0.116	0.595	0.289	42
143	20.965	16.847	0.023	0.187	0.000	0
144	19.263	17.149	0.218	0.581	7.339	70
145	28.860	17.246	0.129	0.441	0.000	0
146	17.499	18.072	0.341	0.947	0.446	78
147	19.841	17.908	0.199	0.783	1.028	87
148	9.276	17.949	0.033	0.224	0.030	37
149	20.475	18.215	0.204	0.626	1.028	87
150	0.513	18.905	0.127	0.443	0.000	0
151	3.995	19.400	0.071	0.321	0.000	0
152	30.481	19.611	0.130	0.777	0.000	0
153	13.847	19.913	0.601	1.237	0.873	56
154	6.842	19.613	0.134	0.490	0.060	27
155	3.017	19.561	0.037	0.230	0.806	15
156	12.984	19.848	0.050	0.336	0.060	51
157	6.744	20.058	0.024	0.190	0.060	27
158	2.969	20.521	0.242	1.042	0.806	15
159	15.845	20.503	0.412	0.922	0.326	66
160	20.131	20.967	0.678	1.832	1.906	89
161	8.022	20.552	0.144	0.633	0.284	33
162	7.594	20.426	0.042	0.242	0.284	33
163	23.042	20.722	0.266	0.832	0.411	103
164	2.169	21.881	0.729	2.161	2.773	12
165	6.889	20.837	0.481	1.163	1.693	25
166	2.531	20.959	0.030	0.266	0.806	15
167	7.469	21.525	0.063	0.328	1.693	25
168	14.930	22.390	0.266	1.476	1.124	62
169	20.176	22.253	0.088	0.345	0.000	0
170	5.933	24.340	1.453	3.092	4.765	22
171	5.097	23.272	0.051	0.320	0.000	0
172	22.614	25.666	0.545	1.365	1.247	99
173	5.890	27.818	0.230	0.900	0.451	23
174	22.463	27.780	0.119	0.495	0.000	0
175	7.273	28.183	0.043	0.241	1.204	26
176	6.672	28.724	0.353	1.421	1.204	26
177	20.189	29.448	0.091	0.347	0.030	93
